Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,64.4375,61.6875,64.3125,61.8125,294400.0,37.121639251708984
2000-01-04,62.1875,58.9375,61.5625,59.4375,472600.0,35.695343017578125
2000-01-05,60.8125,59.3125,59.4375,60.3125,419500.0,36.220829010009766
2000-01-06,61.625,59.6875,60.1875,60.8125,266600.0,36.521095275878906
2000-01-07,61.5625,60.375,60.9375,61.0,298400.0,36.63369369506836
2000-01-10,62.6875,61.125,61.25,61.75,212700.0,37.08412170410156
2000-01-11,64.5625,62.0,62.0,64.0,309500.0,38.43534851074219
2000-01-12,63.8125,61.75,63.75,61.75,357100.0,37.08412170410156
2000-01-13,62.25,61.25,62.0,61.4375,174500.0,36.89644241333008
2000-01-14,62.1875,61.125,61.5,61.1875,239500.0,36.74629211425781
2000-01-18,60.3125,59.25,60.0,59.3125,233500.0,35.620269775390625
2000-01-19,63.1875,59.625,61.5,59.625,548000.0,35.80794143676758
2000-01-20,60.5625,59.125,59.875,59.5,471900.0,35.732872009277344
2000-01-21,58.0,52.25,56.0,57.5,2453200.0,34.5317497253418
2000-01-24,59.9375,57.375,57.75,57.9375,894400.0,34.79450225830078
2000-01-25,58.375,51.75,57.9375,53.625,1122600.0,32.20462417602539
2000-01-26,59.9375,55.0,55.0625,59.875,920900.0,35.958072662353516
2000-01-27,60.25,56.4375,59.625,56.6875,895100.0,34.04379653930664
2000-01-28,58.5625,55.375,55.375,56.75,375500.0,34.08134841918945
2000-01-31,58.75,56.25,56.5,58.25,391500.0,34.98218536376953
2000-02-01,60.4375,58.25,58.25,59.6875,531500.0,35.845462799072266
2000-02-02,59.5,57.5625,59.4375,57.625,468300.0,34.60683059692383
2000-02-03,58.25,57.0625,57.5625,57.5625,355000.0,34.56930160522461
2000-02-04,58.1875,56.3125,57.8125,56.375,300100.0,33.85613250732422
2000-02-07,57.25,55.0,56.375,55.5625,495300.0,33.36818313598633
2000-02-08,56.1875,54.375,55.8125,54.375,372300.0,32.65504455566406
2000-02-09,55.375,54.6875,55.0625,54.9375,355200.0,32.99283981323242
2000-02-10,55.4375,54.125,55.0,54.375,288900.0,32.65504455566406
2000-02-11,55.375,52.625,54.9375,52.75,253400.0,31.67915916442871
2000-02-14,53.875,50.5,51.75,52.9375,741400.0,31.79175567626953
2000-02-15,54.0625,51.9375,53.0625,52.6875,711000.0,31.6416015625
2000-02-16,54.125,53.0,53.0625,54.0,493300.0,32.42982864379883
2000-02-17,58.4375,54.0,54.0,57.0,575000.0,34.23148727416992
2000-02-18,56.6875,54.3125,56.375,54.5,487000.0,32.73008728027344
2000-02-22,55.25,54.25,54.5,54.5625,473400.0,32.767642974853516
2000-02-23,54.9375,54.125,54.5625,54.1875,467700.0,32.54243087768555
2000-02-24,54.6875,52.5625,54.1875,54.25,673400.0,32.57996368408203
2000-02-25,54.4375,53.3125,53.875,53.375,699900.0,32.25664520263672
2000-02-28,54.0,52.875,53.875,53.625,291900.0,32.40773010253906
2000-02-29,55.0,53.125,53.125,54.3125,486000.0,32.82321548461914
2000-03-01,54.4375,51.75,54.3125,53.4375,317000.0,32.29442596435547
2000-03-02,53.375,51.125,53.1875,51.5,353200.0,31.123502731323242
2000-03-03,53.25,51.3125,51.5625,52.1875,543900.0,31.53900146484375
2000-03-06,52.8125,52.125,52.125,52.3125,321400.0,31.61451530456543
2000-03-07,53.625,50.25,52.0625,50.4375,329400.0,30.48138999938965
2000-03-08,51.0,48.625,50.75,49.625,392600.0,29.99036979675293
2000-03-09,52.1875,49.1875,49.625,51.6875,583700.0,31.236806869506836
2000-03-10,52.4375,49.5,51.9375,50.0625,276400.0,30.254770278930664
2000-03-13,50.625,49.0,49.5,49.5625,388000.0,29.952598571777344
2000-03-14,50.4375,48.875,49.8125,48.875,409500.0,29.5371036529541
2000-03-15,56.375,49.125,49.125,54.0625,650600.0,32.67213439941406
2000-03-16,58.625,55.4375,56.0,58.4375,844400.0,35.31611251831055
2000-03-17,59.75,57.0,58.375,57.0625,581700.0,34.485145568847656
2000-03-20,57.6875,55.125,57.1875,56.875,486600.0,34.37184524536133
2000-03-21,61.9375,56.75,56.875,60.375,611700.0,36.487022399902344
2000-03-22,59.625,56.375,59.375,57.625,451700.0,34.8250846862793
2000-03-23,59.125,57.0,57.875,58.0,237600.0,35.05172348022461
2000-03-24,59.25,56.75,58.0,56.8125,301200.0,34.334049224853516
2000-03-27,58.1875,56.5,56.875,56.5,311300.0,34.14519500732422
2000-03-28,57.875,55.75,55.875,56.1875,240600.0,33.956336975097656
2000-03-29,59.6875,55.75,55.9375,58.9375,320500.0,35.61827850341797
2000-03-30,62.0,59.0,59.0625,59.6875,359800.0,36.071556091308594
2000-03-31,60.5625,58.625,59.9375,58.625,325300.0,35.42942810058594
2000-04-03,61.3125,58.75,58.8125,59.375,480700.0,35.882686614990234
2000-04-04,64.0,59.9375,60.4375,62.0625,563600.0,37.506858825683594
2000-04-05,63.125,60.5,61.5,60.625,315800.0,36.63810729980469
2000-04-06,61.9375,60.125,60.375,60.75,361400.0,36.71363830566406
2000-04-07,60.8125,59.1875,60.625,60.1875,202900.0,36.37371826171875
2000-04-10,62.0,60.0,60.125,61.5,229200.0,37.16690444946289
2000-04-11,62.9375,60.9375,61.75,61.3125,268900.0,37.05359649658203
2000-04-12,64.5,61.5625,61.5625,63.875,426600.0,38.60221481323242
2000-04-13,64.75,63.75,64.0,64.0,499100.0,38.67774963378906
2000-04-14,64.375,61.125,64.25,61.5,455900.0,37.16690444946289
2000-04-17,62.25,60.5625,61.375,61.0,298300.0,36.86472702026367
2000-04-18,61.0,59.375,61.0,60.1875,377700.0,36.37371826171875
2000-04-19,61.0,57.25,60.625,58.0625,662900.0,35.08948516845703
2000-04-20,62.9375,58.0,58.0,61.75,625200.0,37.3179817199707
2000-04-24,65.875,61.5625,61.625,64.125,518800.0,38.7532844543457
2000-04-25,67.4375,64.4375,65.125,66.625,701100.0,40.26414489746094
2000-04-26,67.5625,65.25,66.5625,66.25,657900.0,40.03752517700195
2000-04-27,65.6875,64.0625,64.5,64.375,503000.0,38.904380798339844
2000-04-28,66.875,64.5,64.625,65.125,545500.0,39.357627868652344
2000-05-01,68.0,65.5625,66.4375,67.0,476300.0,40.49079132080078
2000-05-02,68.3125,65.9375,67.0625,66.5,504000.0,40.188602447509766
2000-05-03,68.1875,65.875,65.875,67.25,509600.0,40.641849517822266
2000-05-04,67.8125,65.0,67.125,65.0,329300.0,39.28209686279297
2000-05-05,67.75,64.4375,64.75,66.8125,263500.0,40.3774528503418
2000-05-08,67.1875,62.875,67.0625,63.25,399300.0,38.224491119384766
2000-05-09,65.34375,62.5625,64.5,63.5,445100.0,38.37558364868164
2000-05-10,64.25,61.6875,63.625,61.875,298800.0,37.39353942871094
2000-05-11,66.125,62.125,62.25,65.6875,291500.0,39.69756317138672
2000-05-12,65.6875,63.5,65.5625,63.75,252400.0,38.52667999267578
2000-05-15,65.1875,63.1875,63.625,65.0625,304000.0,39.31986999511719
2000-05-16,67.125,64.6875,64.6875,65.125,321300.0,39.56438064575195
2000-05-17,64.75,62.625,64.5,63.0625,289400.0,38.31140899658203
2000-05-18,65.75,63.75,64.0,64.875,246400.0,39.41251754760742
2000-05-19,63.8125,61.625,63.75,61.9375,576800.0,37.627933502197266
2000-05-22,62.6875,60.625,62.0,61.125,352900.0,37.13433074951172
2000-05-23,62.9375,61.375,61.375,61.75,200300.0,37.51403045654297
2000-05-24,63.625,60.5,61.625,62.625,364400.0,38.04560089111328
2000-05-25,63.25,60.375,62.375,61.0,355600.0,37.05840301513672
2000-05-26,61.0,58.625,61.0,59.0,498200.0,35.84336471557617
2000-05-30,60.9375,59.3125,60.125,60.6875,337400.0,36.86854934692383
2000-05-31,60.75,56.6875,60.0,56.6875,516300.0,34.4384880065918
2000-06-01,57.25,56.375,56.9375,56.5625,666900.0,34.362545013427734
2000-06-02,61.125,56.875,57.0,59.75,378800.0,36.298988342285156
2000-06-05,60.4375,57.25,59.75,58.375,330500.0,35.46366500854492
2000-06-06,57.9375,54.5625,57.875,55.296875,926500.0,33.59367370605469
2000-06-07,56.25,53.4375,55.8125,53.9375,724900.0,32.7678108215332
